material_id,topic,part2_issue_id,part2_card,part3_questions,source_date
406,机智解决问题的人,1993,"Describe a person who solved a problem in a smart way
You should say:
Who this person is
What the problem was
How he/she solved it
And explain why you think he/she did it in a smart way","1. Do you think children are born smart or they learn to become smart?
2. How do children become smart at school?
3. Why are some people well-rounded and others only good at one thing?
4. Why does modern society need talents of all kinds?
5. Do you think smart children are happier than other children?
6. Is it important for schools to identify and develop each student's talents?",2026-01-30
414,自行车/摩托车/汽车旅行,2030,"Describe a bicycle/motorcycle/car trip you would like to take
You should say:
Who you would like to go with
Where you would like to go
When you would like to go
And explain why you would like to go by bicycle/motorcycle/car","1. Which form of vehicle is more popular in your country, bikes, cars or motorcycles?
2. Do you think air pollution comes mostly from motor vehicles?
3. Do you think people need to change the way of transportation drastically to protect the environment?
4. How are the transportation systems in urban areas and rural areas different?
5. Why do more people own and drive private vehicles now?
6. What do you think of the future of electric cars?",2026-01-30
426,花费超过预期的物品,2086,"Describe an item on which you spent more than expected
You should say:
What it is
How much you spent on it
Why you bought it
And explain why you think you spent more than expected","1. Do you often buy more than you expected?
2. What do you think young people spend most of their money on?
3. Do you think it is important to save money? Why?
4. Do people buy things they don't need?
5. Do you think it is the rich people's responsibility to donate money to people in need?
6. What kind of things are people happy to pay a high price for?",2026-01-19
430,为家人骄傲,2110,"Describe a time when you felt proud of a family member
You should say:
When it happened
Who the person is
What the person did
And explain why you felt proud of him/her","1. When would parents feel proud of their children?
2. Should parents reward children? Why and how?
3. Is it good to reward children too often? Why?
4. On what occasions would adults be proud of themselves?
5. Do rewards help a child become better?
6. What do you think about children working hard just for grades?",2026-02-13
546,发小,2650,"Describe a friend from your childhood
You should say:
Who he/she is
Where and how you met each other
What you often did together
And explain what made you like him/her","1. Do you still keep in touch with your friends from childhood? Why or why not?
2. How important is childhood friendship to children?
3. What do you think of communicating with others through social media?
4. Do you think online communication through social media will replace face-to-face communication?
5. Has technology changed people's friendships? How?
6. What's the difference between talking to friends and family?",2026-05-06
634,乐于助人的人,5601,"Describe a person who often helps others

You should say:

Who this person is

How often he/she helps others

How/why he/she helps others

And how you feel about this person","1. Should children help their parents with household chores?
2. What kind of help do people need when looking for a new job?
3. Who should people ask for help, colleagues or family members?",2026-01-09
760,想颁布的新法律,3939,"Describe a new law you would like to introduce

You should say

What law it is

What changes this law has

Whether this new law will be popular

How you came up with the new law

And explain how you feel about this new law","1. What rules should students follow at school?
2. Do people in your country usually obey the law?
3. What kinds of behavior are considered as good behavior?
4. Do you think children can learn about the law outside of school?
5. What are the benefits for people if they obey the rules?
6. How can parents teach children to obey rules?",2024-04-18
819,近期观影,4350,"Describe a movie you watched and enjoyed recently

You should say:

When and where you watched it

Who you watched it with

What it was about

And explain why you watched this movie","1. What kinds of movies do you think are successful in your country?
2. Do Chinese people prefer to watch domestic movies or foreign movies?
3. Do you think only well-known directors can create the best movies?
4. Why do people prefer to watch movies in the cinema?
5. What are the factors that make a successful movie?
6. Do you think successful movies should have well-known actors or actresses in leading roles?",2024-09-03
868,近期改变的计划,4792,"Describe a plan that you had to change recently

You should say:

When this happened

What made you change the plan

What the new plan was

And how you felt about the change","1. Do people often change their plans?
2. Would you tell others if you change your plan?
3. How does technology help people make plans?
4. Why do you think parents still make plans for their children nowadays?",2025-02-04
909,想见的名人,4968,"Describe a famous person you would like to meet

You should say:

Who he/she is

How you knew him/her

How/where you would like to meet him/her

And explain why you would like to meet him/her","1. What are the advantages and disadvantages of being a famous child?
2. What can today's children do to become famous?
3. What can children do with their fame?
4. Do people become famous because of their talent?
5. Is it easy to become famous in your country?
6. Do you want to be a famous person?",2026-01-16
988,完美工作,5509,"Describe a perfect job you would like to have in the future

You should say:

What it is

How you knew it

What you need to learn to get this job

And explain why you think it is a perfect job for you","1. What kind of job can be called a 'dream job'?
2. What should people consider when choosing jobs?
3. ls salary the main reason people choose a certain job?
4. Do people's ideal jobs change as they grow up?
5. What jobs do children want to do when they grow up?
6. What kind of jobs are the most popular in your country?",2026-01-15
990,禁止用手机的场合,5517,"Describe an occasion when you were not allowed to use your mobile phone

You should say:

When it was

Where it was

Why you were not allowed to use your mobile phone

And how you felt about it","1. How do young and old people use mobile phones differently?
2. What positive and negative impact do mobile phones have on friendship?
3. ls it a waste of time to take pictures with mobile phones?
4. Do you think it is necessary to have laws on the use of mobile phones?
5. What are examples of good and poor phone manners?
6. How does the internet benefit people?",2026-01-16
993,喜欢画画的孩子,5537,"Describe a child who loves drawing/painting

You should say:

Who he/she is

How/when you knew him/her

How often he/she draws/paints

And explain why you think he/she loves drawing/painting","1. What is the right age for a child to learn drawing?
2. Why do most children draw more often than adults do?
3. Why do some people visit galleries or museums instead of viewing artworks online?
4. Do you think galleries and museums should be free of charge?
5. How do artworks inspire people?
6. What are the differences between reading a book and visiting a museum?",2026-01-10
995,擅长做计划的人,5547,"Describe a person who makes plans a lot and is good at planning

You should say:

Who he/she is

How you knew him/her

What plans he/she makes

And explain how you feel about this person","1. Do you think it's important to plan ahead?
2. Do you think children should plan their future careers?
3. Should children ask their teachers or parents for advice when making plans?
4. What activities do we need to plan ahead?
5. Is making study plans popular among young people?
6. Do you think choosing a college major is closely related to a future career?",2026-01-07
997,Apps/程序,5554,"Describe a program or app on your computer or phone

You should say:

What it is

When/how you use it

Where you found it

And explain how you feel about it","1. What are the differences between old and young people when using apps?
2. Why do some people not like using apps?
3. What apps are popular in your country? Why?
4. Should parents limit their children's use of computer programs and computer games?
5. Do you think young people rely more and more on these programs?
6. What do you think about some countries banning children from using social media?",2026-01-26
998,想拥有的科技产品,5557,"Describe a piece of technology (not a phone) that you would like to own

You should say:

What it is

How much it costs

How you knew it

And explain why you would like to own it","1. What are the differences between the technology of the past and that of today?
2. What technology do young people like to use?
3. What are the differences between online and face-to-face communication?
4. Do you think technology has changed the way people communicate?
5. What negative effects does technology have on people's relationships?
6. What are the differences between making friends in real life and online?",2026-01-12
