material_id,topic,question_no,issue_id,question,source_date
27,Work/studies,5,3838,What do you find the most interesting about the work you do? Why?,2024-02-27
27,Work/studies,6,3839,Will you need to do any more study for your job?,2024-02-27
27,Work/studies,7,3840,Where do you work?,2024-02-27
27,Work/studies,8,3841,Is it a good place to work?,2024-02-27
27,Work/studies,9,3842,Would you like the place where you work to make any changes?,2024-02-27
27,Work/studies,10,3843,What technology do you use at work?,2024-02-27
27,Work/studies,11,3844,What subjects are you studying?,2024-02-27
27,Work/studies,12,3845,Why did you choose to study this subject?,2024-02-27
27,Work/studies,13,3847,What do you like about your course?,2024-02-27
27,Work/studies,14,3848,What would you like to do after you finish your course?,2024-02-27
27,Work/studies,15,3849,Do you prefer to study in the mornings or in the afternoons?,2024-02-27
27,Work/studies,16,3850,Do you think you will miss being a student once you finish your studies? Why/why not?,2024-02-27
27,Work/studies,17,3851,What technology do you use when you study?,2024-02-27
27,Work/studies,18,3852,Are you enjoying your studies at the moment? Why/why not?,2024-02-27
28,Home/Accommodation,1,741,Can you describe the place where you live?,2019-09-20
28,Home/Accommodation,2,742,How long have you lived there?,2019-09-20
28,Home/Accommodation,3,743,Who do you live with?,2019-09-20
28,Home/Accommodation,4,744,Do you plan to live there for a long time?,2019-09-20
28,Home/Accommodation,5,745,What is the difference between where you are living now and where you have lived in the past?,2019-09-20
28,Home/Accommodation,6,747,What do you usually do in your flat?,2019-09-20
28,Home/Accommodation,7,748,Which room does your family spend most of the time in?,2019-09-20
28,Home/Accommodation,8,750,Are there transport facilities to your home that are very good?,2019-09-20
28,Home/Accommodation,9,751,What kinds of accommodation do you live in?,2019-09-20
28,Home/Accommodation,10,753,Please describe the room you live in?,2019-09-20
28,Home/Accommodation,11,754,What room does your family spend most of the time in?,2019-09-20
28,Home/Accommodation,12,3853,Do you live in a house or an apartment?,2024-02-27
28,Home/Accommodation,13,3854,Do you prefer living in a house or an apartment?,2024-02-27
28,Home/Accommodation,14,3855,Do you live with anyone else? Why/Why not?,2024-02-27
28,Home/Accommodation,15,3856,Do you like the place you currently live in? Why/Why not?,2024-02-27
28,Home/Accommodation,16,3857,What is your favourite room in your house/apartment?,2024-02-27
28,Home/Accommodation,17,3858,Would you like to change anything in your house/apartment?,2024-02-27
28,Home/Accommodation,18,3859,Would you like to move to a different house/apartment in the future?,2024-02-27
28,Home/Accommodation,19,3860,What do you think makes a place comfortable to live in?,2024-02-27
29,Hometown,1,66,Did you like living there?,2019-09-04
29,Hometown,2,840,Do you think you'll continue living there for a long time?,2019-09-29
29,Hometown,3,3861,Where is your hometown?,2024-02-27
29,Hometown,4,3862,What kind of place is it?,2024-02-27
29,Hometown,5,3863,How long have you lived there?,2024-02-27
29,Hometown,6,3864,What is one of the best things about living there?,2024-02-27
29,Hometown,7,3865,Is there anything you dislike about it?,2024-02-27
29,Hometown,8,3866,Do you know many people who live nearby?,2024-02-27
29,Hometown,9,3867,Do you have any relatives who still live in your hometown? Why/Why not?,2024-02-27
29,Hometown,10,3868,Do you often go back to visit your hometown? Why/Why not?,2024-02-27
29,Hometown,11,5625,Can you describe your hometown a little bit?,2026-01-14
29,Hometown,12,5626,Do you like it?,2026-01-14
308,Life stages,1,1534,Do you have any plans for the next five years? /What's your plan for your next stage of life?,2020-11-09
308,Life stages,2,4213,What did you often do with your friends in your childhood?,2024-05-21
308,Life stages,3,4214,What do you think is the most important at the moment?,2024-05-21
308,Life stages,4,4215,How do people remember each stage of their lives?,2024-05-21
308,Life stages,5,5642,Do you enjoy being the age you are now?,2026-01-19
308,Life stages,6,5643,At what age do you think people are the happiest?,2026-01-19
33,Reading,1,88,Do you like reading?,2019-09-04
33,Reading,2,5531,Do you prefer to read on paper or on a screen?,2026-01-05
33,Reading,3,5544,"When do you need to read carefully, and when not?",2026-01-06
33,Reading,4,5577,Do you prefer scanning or detailed reading?,2026-01-07
400,Headphone,1,1971,Do you use headphones?,2021-09-01
400,Headphone,2,5781,How often do you wear headphones?,2026-05-07
400,Headphone,3,5782,Do you think headphones are useful?,2026-05-07
400,Headphone,4,5783,Are headphones popular in your country?,2026-05-07
400,Headphone,5,5784,In what situations should people not wear headphones?,2026-05-07
408,Pets and Animals,1,2002,What's your favorite animal? Why?,2021-09-03
408,Pets and Animals,2,2003,What is the most popular animal in China?,2021-09-03
408,Pets and Animals,3,2004,Have you ever had a pet before?,2021-09-03
408,Pets and Animals,4,2005,"Where do you prefer to keep your pet, indoors or outdoors?",2021-09-03
435,Mirrors,1,2130,Do you like looking at yourself in the mirror? How often?,2022-01-04
435,Mirrors,2,2131,Have you ever bought mirrors?,2022-01-04
435,Mirrors,3,2132,Do you usually take a mirror with you?,2022-01-04
435,Mirrors,4,2133,Would you use mirrors to decorate your room?,2022-01-04
466,Websites,1,2282,What kinds of websites do you often visit?,2022-01-11
466,Websites,2,2283,What is your favourite website?,2022-01-11
466,Websites,3,2284,Are there any changes to the websites you often visit?,2022-01-11
466,Websites,4,2285,What kinds of websites are popular in your country?,2022-01-11
47,The area you live in,1,3826,Where are you living at the moment?,2024-02-27
47,The area you live in,2,3827,What kind of area is it?,2024-02-27
47,The area you live in,3,3828,How long have you lived there?,2024-02-27
47,The area you live in,4,3829,Do you know any of your neighbours?,2024-02-27
47,The area you live in,5,3830,What do you like about living there?,2024-02-27
47,The area you live in,6,3831,What changes have taken place in the area recently?,2024-02-27
47,The area you live in,7,3832,Would you like to change anything about your area? Why/Why not?,2024-02-27
47,The area you live in,8,3833,Would you like to continue living there in the future? Why/Why not?,2024-02-27
472,Cars,1,2301,Did you enjoy traveling by car when you were a kid?,2022-01-13
472,Cars,2,2302,What types of cars do you like?,2022-01-13
472,Cars,3,2303,Do you prefer to be a driver or a passenger?,2022-01-13
472,Cars,4,2304,What do you usually do when there is a traffic Jam?,2022-01-13
472,Cars,5,4698,Do you think car colours are important?,2024-12-09
487,Watch,1,2367,Do you wear a watch?,2022-05-06
487,Watch,2,2368,Have you ever got a watch as a gift?,2022-05-06
487,Watch,3,2369,Why do some people wear expensive watches?,2022-05-06
487,Watch,4,2370,Do you think it is important to wear a watch? Why?,2022-05-06
563,Outer space and stars,1,2941,Have you ever learnt about outer space and stars?,2023-01-10
563,Outer space and stars,2,2942,Do you want to know more about outer space?,2023-01-10
563,Outer space and stars,3,2943,Do you enjoy watching science-fiction films/movies set in space?,2023-01-10
563,Outer space and stars,4,2944,Would you like to go into outer space in the future?,2023-01-10
64,Walking,1,219,Do you walk a lot?,2019-09-06
64,Walking,2,5522,Did you often go outside to have a walk when you were a child?,2026-01-05
64,Walking,3,5523,Why do people like to walk in parks?,2026-01-05
64,Walking,4,5524,Where would you like to take a long walk if you had the chance?,2026-01-05
64,Walking,5,5525,Where did you go for a walk lately?,2026-01-05
644,The city you live in,1,3229,What city do you live in?,2023-05-31
644,The city you live in,2,3230,Do you like this city? Why?,2023-05-31
644,The city you live in,3,3231,How long have you lived in this city?,2023-05-31
644,The city you live in,4,3232,Are there big changes in this city?,2023-05-31
644,The city you live in,5,3233,ls this city your permanent residence?,2023-05-31
644,The city you live in,6,3234,Are there people of different ages living in this city?,2023-05-31
656,Gifts,1,3275,Have you ever sent handmade gifts to others?,2023-09-01
656,Gifts,2,3276,What do you consider when choosing a gift?,2023-09-01
656,Gifts,3,3310,Have you ever received a great gift?,2023-09-02
656,Gifts,4,3311,Do you think you are good at choosing gifts?,2023-09-02
656,Gifts,5,4793,What gift have you received recently?,2025-02-04
723,Feeling bored,1,3627,Do you often feel bored?,2024-01-04
723,Feeling bored,2,3628,When would you feel bored?,2024-01-04
723,Feeling bored,3,3629,What do you do when you feel bored?,2024-01-04
723,Feeling bored,4,3630,Do you think childhood is boring or adulthood is boring?,2024-01-04
723,Feeling bored,5,5699,Did you ever find school boring when you were a child?,2026-05-06
723,Feeling bored,6,5700,What sort of things do you find most boring now?,2026-05-06
723,Feeling bored,7,5701,What do you do to stop yourself feeling bored?,2026-05-06
731,Singing,1,3683,Do you like singing now?,2024-01-10
731,Singing,2,3684,Did you learn to sing when you were at school?,2024-01-10
731,Singing,3,5785,Did you like singing when you were a child?,2026-05-07
731,Singing,4,5786,Do you enjoy singing in the car?,2026-05-07
731,Singing,5,5787,Do you like listening to other people sing?,2026-05-07
851,Hobby,1,4703,Do you have any hobbies?,2024-12-11
851,Hobby,2,4704,Did you have any hobbies when you were a child?,2024-12-11
851,Hobby,3,4705,Do you have a hobby that you've had since childhood?,2024-12-11
851,Hobby,4,4706,Do you have the same hobbies as your family members?,2024-12-11
989,Food,1,5513,What is your favourite food?,2026-01-04
989,Food,2,5514,What kind of food did you like when you were young?,2026-01-04
989,Food,3,5543,Do you eat different foods at different times of the year?,2026-01-06
989,Food,4,5559,Has your favourite food changed since you were a child?,2026-01-06
991,Morning time,1,5526,Do you like getting up early in the morning?,2026-01-05
991,Morning time,2,5527,What do you usually do in the morning?,2026-01-05
991,Morning time,3,5528,What did you do in the morning when you were little? why?,2026-01-05
991,Morning time,4,5529,Are there any differences between what you do in the morning now and what you did in the past?,2026-01-05
991,Morning time,5,5530,Do you spend your mornings doing the same things on both weekends and weekdays? Why?,2026-01-05
994,Sports team,1,5546,Have you ever been part of a sports team?,2026-01-06
994,Sports team,2,5592,Are team sports popular in your culture?,2026-01-08
994,Sports team,3,5593,Do you like to watch team games? Why?,2026-01-08
994,Sports team,4,5624,What are the differences between team sports and individual sports?,2026-01-13
996,Typing,1,5551,Do you type on a desktop or laptop keyboard every day?,2026-01-06
996,Typing,2,5552,When did you learn how to type on a keyboard?,2026-01-06
996,Typing,3,5553,How do you improve your typing?,2026-01-06
996,Typing,4,5576,Do you prefer typing or handwriting?,2026-01-07
