material_id,topic,part,issue_id,question,source_date
27,Work/studies,Part 1,3850,Do you think you will miss being a student once you finish your studies? Why/why not?,2024-02-27
27,Work/studies,Part 1,3851,What technology do you use when you study?,2024-02-27
27,Work/studies,Part 1,3852,Are you enjoying your studies at the moment? Why/why not?,2024-02-27
28,Home/Accommodation,Part 1,741,Can you describe the place where you live?,2019-09-20
28,Home/Accommodation,Part 1,742,How long have you lived there?,2019-09-20
28,Home/Accommodation,Part 1,743,Who do you live with?,2019-09-20
28,Home/Accommodation,Part 1,744,Do you plan to live there for a long time?,2019-09-20
28,Home/Accommodation,Part 1,745,What is the difference between where you are living now and where you have lived in the past?,2019-09-20
28,Home/Accommodation,Part 1,747,What do you usually do in your flat?,2019-09-20
28,Home/Accommodation,Part 1,748,Which room does your family spend most of the time in?,2019-09-20
28,Home/Accommodation,Part 1,750,Are there transport facilities to your home that are very good?,2019-09-20
28,Home/Accommodation,Part 1,751,What kinds of accommodation do you live in?,2019-09-20
28,Home/Accommodation,Part 1,753,Please describe the room you live in?,2019-09-20
28,Home/Accommodation,Part 1,754,What room does your family spend most of the time in?,2019-09-20
28,Home/Accommodation,Part 1,3853,Do you live in a house or an apartment?,2024-02-27
28,Home/Accommodation,Part 1,3854,Do you prefer living in a house or an apartment?,2024-02-27
28,Home/Accommodation,Part 1,3855,Do you live with anyone else? Why/Why not?,2024-02-27
28,Home/Accommodation,Part 1,3856,Do you like the place you currently live in? Why/Why not?,2024-02-27
28,Home/Accommodation,Part 1,3857,What is your favourite room in your house/apartment?,2024-02-27
28,Home/Accommodation,Part 1,3858,Would you like to change anything in your house/apartment?,2024-02-27
28,Home/Accommodation,Part 1,3859,Would you like to move to a different house/apartment in the future?,2024-02-27
28,Home/Accommodation,Part 1,3860,What do you think makes a place comfortable to live in?,2024-02-27
29,Hometown,Part 1,66,Did you like living there?,2019-09-04
29,Hometown,Part 1,840,Do you think you'll continue living there for a long time?,2019-09-29
29,Hometown,Part 1,3861,Where is your hometown?,2024-02-27
29,Hometown,Part 1,3862,What kind of place is it?,2024-02-27
29,Hometown,Part 1,3863,How long have you lived there?,2024-02-27
29,Hometown,Part 1,3864,What is one of the best things about living there?,2024-02-27
29,Hometown,Part 1,3865,Is there anything you dislike about it?,2024-02-27
29,Hometown,Part 1,3866,Do you know many people who live nearby?,2024-02-27
29,Hometown,Part 1,3867,Do you have any relatives who still live in your hometown? Why/Why not?,2024-02-27
29,Hometown,Part 1,3868,Do you often go back to visit your hometown? Why/Why not?,2024-02-27
29,Hometown,Part 1,5625,Can you describe your hometown a little bit?,2026-01-14
29,Hometown,Part 1,5626,Do you like it?,2026-01-14
308,Life stages,Part 1,1534,Do you have any plans for the next five years? /What's your plan for your next stage of life?,2020-11-09
308,Life stages,Part 1,4213,What did you often do with your friends in your childhood?,2024-05-21
308,Life stages,Part 1,4214,What do you think is the most important at the moment?,2024-05-21
308,Life stages,Part 1,4215,How do people remember each stage of their lives?,2024-05-21
308,Life stages,Part 1,5642,Do you enjoy being the age you are now?,2026-01-19
308,Life stages,Part 1,5643,At what age do you think people are the happiest?,2026-01-19
33,Reading,Part 1,88,Do you like reading?,2019-09-04
33,Reading,Part 1,5531,Do you prefer to read on paper or on a screen?,2026-01-05
33,Reading,Part 1,5544,"When do you need to read carefully, and when not?",2026-01-06
33,Reading,Part 1,5577,Do you prefer scanning or detailed reading?,2026-01-07
400,Headphone,Part 1,1971,Do you use headphones?,2021-09-01
400,Headphone,Part 1,5781,How often do you wear headphones?,2026-05-07
400,Headphone,Part 1,5782,Do you think headphones are useful?,2026-05-07
400,Headphone,Part 1,5783,Are headphones popular in your country?,2026-05-07
400,Headphone,Part 1,5784,In what situations should people not wear headphones?,2026-05-07
408,Pets and Animals,Part 1,2002,What's your favorite animal? Why?,2021-09-03
408,Pets and Animals,Part 1,2003,What is the most popular animal in China?,2021-09-03
408,Pets and Animals,Part 1,2004,Have you ever had a pet before?,2021-09-03
408,Pets and Animals,Part 1,2005,"Where do you prefer to keep your pet, indoors or outdoors?",2021-09-03
435,Mirrors,Part 1,2130,Do you like looking at yourself in the mirror? How often?,2022-01-04
435,Mirrors,Part 1,2131,Have you ever bought mirrors?,2022-01-04
435,Mirrors,Part 1,2132,Do you usually take a mirror with you?,2022-01-04
435,Mirrors,Part 1,2133,Would you use mirrors to decorate your room?,2022-01-04
466,Websites,Part 1,2282,What kinds of websites do you often visit?,2022-01-11
466,Websites,Part 1,2283,What is your favourite website?,2022-01-11
466,Websites,Part 1,2284,Are there any changes to the websites you often visit?,2022-01-11
466,Websites,Part 1,2285,What kinds of websites are popular in your country?,2022-01-11
47,The area you live in,Part 1,3826,Where are you living at the moment?,2024-02-27
47,The area you live in,Part 1,3827,What kind of area is it?,2024-02-27
47,The area you live in,Part 1,3828,How long have you lived there?,2024-02-27
47,The area you live in,Part 1,3829,Do you know any of your neighbours?,2024-02-27
47,The area you live in,Part 1,3830,What do you like about living there?,2024-02-27
47,The area you live in,Part 1,3831,What changes have taken place in the area recently?,2024-02-27
47,The area you live in,Part 1,3832,Would you like to change anything about your area? Why/Why not?,2024-02-27
47,The area you live in,Part 1,3833,Would you like to continue living there in the future? Why/Why not?,2024-02-27
472,Cars,Part 1,2301,Did you enjoy traveling by car when you were a kid?,2022-01-13
472,Cars,Part 1,2302,What types of cars do you like?,2022-01-13
472,Cars,Part 1,2303,Do you prefer to be a driver or a passenger?,2022-01-13
472,Cars,Part 1,2304,What do you usually do when there is a traffic Jam?,2022-01-13
472,Cars,Part 1,4698,Do you think car colours are important?,2024-12-09
487,Watch,Part 1,2367,Do you wear a watch?,2022-05-06
487,Watch,Part 1,2368,Have you ever got a watch as a gift?,2022-05-06
487,Watch,Part 1,2369,Why do some people wear expensive watches?,2022-05-06
487,Watch,Part 1,2370,Do you think it is important to wear a watch? Why?,2022-05-06
563,Outer space and stars,Part 1,2941,Have you ever learnt about outer space and stars?,2023-01-10
563,Outer space and stars,Part 1,2942,Do you want to know more about outer space?,2023-01-10
563,Outer space and stars,Part 1,2943,Do you enjoy watching science-fiction films/movies set in space?,2023-01-10
563,Outer space and stars,Part 1,2944,Would you like to go into outer space in the future?,2023-01-10
64,Walking,Part 1,219,Do you walk a lot?,2019-09-06
64,Walking,Part 1,5522,Did you often go outside to have a walk when you were a child?,2026-01-05
64,Walking,Part 1,5523,Why do people like to walk in parks?,2026-01-05
64,Walking,Part 1,5524,Where would you like to take a long walk if you had the chance?,2026-01-05
64,Walking,Part 1,5525,Where did you go for a walk lately?,2026-01-05
644,The city you live in,Part 1,3229,What city do you live in?,2023-05-31
644,The city you live in,Part 1,3230,Do you like this city? Why?,2023-05-31
644,The city you live in,Part 1,3231,How long have you lived in this city?,2023-05-31
644,The city you live in,Part 1,3232,Are there big changes in this city?,2023-05-31
644,The city you live in,Part 1,3233,ls this city your permanent residence?,2023-05-31
644,The city you live in,Part 1,3234,Are there people of different ages living in this city?,2023-05-31
656,Gifts,Part 1,3275,Have you ever sent handmade gifts to others?,2023-09-01
656,Gifts,Part 1,3276,What do you consider when choosing a gift?,2023-09-01
656,Gifts,Part 1,3310,Have you ever received a great gift?,2023-09-02
656,Gifts,Part 1,3311,Do you think you are good at choosing gifts?,2023-09-02
656,Gifts,Part 1,4793,What gift have you received recently?,2025-02-04
723,Feeling bored,Part 1,3627,Do you often feel bored?,2024-01-04
723,Feeling bored,Part 1,3628,When would you feel bored?,2024-01-04
723,Feeling bored,Part 1,3629,What do you do when you feel bored?,2024-01-04
723,Feeling bored,Part 1,3630,Do you think childhood is boring or adulthood is boring?,2024-01-04
723,Feeling bored,Part 1,5699,Did you ever find school boring when you were a child?,2026-05-06
723,Feeling bored,Part 1,5700,What sort of things do you find most boring now?,2026-05-06
723,Feeling bored,Part 1,5701,What do you do to stop yourself feeling bored?,2026-05-06
731,Singing,Part 1,3683,Do you like singing now?,2024-01-10
731,Singing,Part 1,3684,Did you learn to sing when you were at school?,2024-01-10
731,Singing,Part 1,5785,Did you like singing when you were a child?,2026-05-07
731,Singing,Part 1,5786,Do you enjoy singing in the car?,2026-05-07
731,Singing,Part 1,5787,Do you like listening to other people sing?,2026-05-07
851,Hobby,Part 1,4703,Do you have any hobbies?,2024-12-11
851,Hobby,Part 1,4704,Did you have any hobbies when you were a child?,2024-12-11
851,Hobby,Part 1,4705,Do you have a hobby that you've had since childhood?,2024-12-11
851,Hobby,Part 1,4706,Do you have the same hobbies as your family members?,2024-12-11
989,Food,Part 1,5513,What is your favourite food?,2026-01-04
989,Food,Part 1,5514,What kind of food did you like when you were young?,2026-01-04
989,Food,Part 1,5543,Do you eat different foods at different times of the year?,2026-01-06
989,Food,Part 1,5559,Has your favourite food changed since you were a child?,2026-01-06
991,Morning time,Part 1,5526,Do you like getting up early in the morning?,2026-01-05
991,Morning time,Part 1,5527,What do you usually do in the morning?,2026-01-05
991,Morning time,Part 1,5528,What did you do in the morning when you were little? why?,2026-01-05
991,Morning time,Part 1,5529,Are there any differences between what you do in the morning now and what you did in the past?,2026-01-05
991,Morning time,Part 1,5530,Do you spend your mornings doing the same things on both weekends and weekdays? Why?,2026-01-05
994,Sports team,Part 1,5546,Have you ever been part of a sports team?,2026-01-06
994,Sports team,Part 1,5592,Are team sports popular in your culture?,2026-01-08
994,Sports team,Part 1,5593,Do you like to watch team games? Why?,2026-01-08
994,Sports team,Part 1,5624,What are the differences between team sports and individual sports?,2026-01-13
996,Typing,Part 1,5551,Do you type on a desktop or laptop keyboard every day?,2026-01-06
996,Typing,Part 1,5552,When did you learn how to type on a keyboard?,2026-01-06
996,Typing,Part 1,5553,How do you improve your typing?,2026-01-06
996,Typing,Part 1,5576,Do you prefer typing or handwriting?,2026-01-07
1005,不享受的音乐活动,Part 2,5582,"Describe an event you attended in which you didn't enjoy the music played

You should say:

What it was

Who you went with

Why you decided to go there

And explain why you didn't enjoy it",2026-01-08
1005,不享受的音乐活动,Part 3,5583,What kind of music events do people like today?,2026-01-08
1005,不享受的音乐活动,Part 3,5630,Do you think children should receive some musical education?,2026-01-15
1005,不享受的音乐活动,Part 3,5631,What are the differences between old and young people's music preferences?,2026-01-15
1005,不享受的音乐活动,Part 3,5632,What kind of music events are there in your country?,2026-01-15
1005,不享受的音乐活动,Part 3,5658,Why do many people like listening to music while doing sports?,2026-01-26
1005,不享受的音乐活动,Part 3,5659,What are the differences between listening to music at home and at a live concert?,2026-01-26
1006,朋友自学,Part 2,5654,"Describe one of your friends who learned something without a teacher

You should say:

Who he/she is

What he/she learned

Why he/she learned this

And explain whether it would be easier to learn from a teacher",2026-01-21
1006,朋友自学,Part 3,5585,Is it necessary to keep learning after graduating from school?,2026-01-08
1006,朋友自学,Part 3,5586,Should teachers make learning in their classes fun?,2026-01-08
1006,朋友自学,Part 3,5608,Do you think there are too many subjects for students to learn?,2026-01-12
1006,朋友自学,Part 3,5609,Is it better to focus on a few subjects or to learn many subjects?,2026-01-12
1006,朋友自学,Part 3,5610,Do you think enterprises should provide training for their employees?,2026-01-12
1006,朋友自学,Part 3,5611,Do you think it is good for older adults to continue learning?,2026-01-12
1007,有趣的建筑,Part 2,5587,"Describe an interesting building

You should say:

Where it is

What it looks like

What function it has

And explain why you think it is interesting",2026-01-08
1007,有趣的建筑,Part 3,5588,What types of buildings are popular in your country?,2026-01-08
1007,有趣的建筑,Part 3,5589,Is it worth spending a lot of money on the exterior appearance of a building?,2026-01-08
1007,有趣的建筑,Part 3,5590,Is it more important for a building to look good on the outside or on the inside?,2026-01-08
1007,有趣的建筑,Part 3,5591,Why do people like to visit historical sites?,2026-01-08
1007,有趣的建筑,Part 3,5667,Do you think it's reasonable to charge an entry fee for visiting interesting buildings?,2026-01-30
1007,有趣的建筑,Part 3,5668,Is it better to live in a new building or an old one?,2026-01-30
1010,爱护自然的人,Part 2,5679,"Describe a person who likes to look after the natural world

You should say:

Who this person is

What he or she does

How he or she does it

How often he or she does it

And explain how you feel about this person",2026-03-06
1010,爱护自然的人,Part 3,5680,Do you think parents should teach their children how to protect the environment?,2026-03-06
1010,爱护自然的人,Part 3,5681,What laws about the environment are effective in your country?,2026-03-06
1010,爱护自然的人,Part 3,5682,"Which do you think people prefer, rewards or punishment, when it comes to government intervention in environmental protection?",2026-03-06
1010,爱护自然的人,Part 3,5683,Is it easy for children in cities to get close to the natural world?,2026-03-06
1010,爱护自然的人,Part 3,5684,What can people do to protect the natural world?,2026-03-06
1010,爱护自然的人,Part 3,5685,Is it important to teach students environmental protection at school?,2026-03-06
1017,喜欢或不喜欢的高建筑,Part 2,5706,"Describe a tall building you like or dislike

You should say:

What it is used for

Where it is

What it looks like

And explain why you like/dislike it",2026-05-06
1017,喜欢或不喜欢的高建筑,Part 3,5707,Are there many tall buildings in your country?,2026-05-06
1017,喜欢或不喜欢的高建筑,Part 3,5708,What are the differences between those tall buildings in your country?,2026-05-06
1017,喜欢或不喜欢的高建筑,Part 3,5755,Why are different places laid out and designed differently?,2026-05-07
1018,有趣视频,Part 2,5709,"Describe an interesting video

You should say:

When and where you watched it

What it is about

Why you watched it

And explain how you feel about it",2026-05-06
1018,有趣视频,Part 3,5710,What kind of videos do people in your country like to watch?,2026-05-06
1018,有趣视频,Part 3,5711,"Which is more helpful, watching videos or reading books?",2026-05-06
1018,有趣视频,Part 3,5712,What skills can people learn from watching videos?,2026-05-06
1018,有趣视频,Part 3,5713,Are there any differences between the videos that young people and old people like to watch?,2026-05-06
1019,无聊的地方,Part 2,5715,"Describe a boring place

You should say:

Where it is

Who you went there with

What you did there

And explain why you think it is a boring place",2026-05-06
1019,无聊的地方,Part 3,5716,Why do most children think education is boring?,2026-05-06
1019,无聊的地方,Part 3,5717,Why aren't young people willing to listen to the experiences of older people?,2026-05-06
1019,无聊的地方,Part 3,5718,What can people do when they feel bored?,2026-05-06
1019,无聊的地方,Part 3,5719,Why are some teachers' classes boring? Are there any solutions?,2026-05-06
1020,去过的最喜欢的城市,Part 2,5725,"Describe your favorite city that you have visited

You should say:

Where it is

How you knew it

When you visited it

And explain why it is your favourite city",2026-05-06
1020,去过的最喜欢的城市,Part 3,5726,"Which is more suitable for young people, urban life or rural life, and which is more suitable for old people?",2026-05-06
1020,去过的最喜欢的城市,Part 3,5727,How do people choose a city to travel to?,2026-05-06
1020,去过的最喜欢的城市,Part 3,5728,Do you think a tourist city is also a good place to live? Why?,2026-05-06
1020,去过的最喜欢的城市,Part 3,5729,Do most people prefer to travel in a modern city or a historical city?,2026-05-06
1021,喜欢在家/花园种菜的人,Part 2,5730,"Describe a person who loves to grow vegetables at home or in the garden

You should say:

Who this person is

What vegetables he/she grows

How he/she grows the vegetables

And explain why he/she loves growing vegetables",2026-05-06
1021,喜欢在家/花园种菜的人,Part 3,5731,What are the advantages of growing vegetables or flowers at home?,2026-05-06
1021,喜欢在家/花园种菜的人,Part 3,5732,Do many people grow vegetables or flowers at home in your country?,2026-05-06
1023,想从事医疗行业的人,Part 2,5740,"Describe a person you know who would like to choose a career in the medical field (e.g. a doctor, a nurse)

You should say:

When you knew him/her

When he/she started to think about that

What he/she would like to do

And explain why he/she would like to choose this career",2026-05-06
1023,想从事医疗行业的人,Part 3,5741,Do you think being a doctor is easy or difficult?,2026-05-06
1023,想从事医疗行业的人,Part 3,5742,Do you think learning biology is interesting for children?,2026-05-06
1024,拥有成功事业的人,Part 2,5743,"Describe a person you know who has a successful business

You should say:

Who this person is

How you got to know him/her

Why and how he/she started the business

What business he/she does

And explain why you think the business is successful",2026-05-06
1024,拥有成功事业的人,Part 3,5744,Why do some people start their own business?,2026-05-06
1024,拥有成功事业的人,Part 3,5745,Should governments provide financial support to start-ups?,2026-05-06
1024,拥有成功事业的人,Part 3,5747,Do most people prefer shopping at big stores or small stores?,2026-05-07
1024,拥有成功事业的人,Part 3,5748,What makes a business successful?,2026-05-07
1024,拥有成功事业的人,Part 3,5749,What makes a business fail?,2026-05-07
1025,在团队中工作,Part 2,5750,"Describe a time when you worked in a group

You should say:

What you did

Who you worked with

What problems you faced

And explain why you worked in the group",2026-05-07
1025,在团队中工作,Part 3,5751,Why do some people prefer to work by themselves?,2026-05-07
1025,在团队中工作,Part 3,5752,What should a leader do to make team members want to follow him or her?,2026-05-07
1025,在团队中工作,Part 3,5753,Should students learn to do group work?,2026-05-07
1025,在团队中工作,Part 3,5754,What group tasks are there in schools?,2026-05-07
1026,特殊场合下吃的食物,Part 2,5756,"Describe a kind of food that you ate at special occasions

You should say:

What it is

What occasion it was

Why you would like to eat it

And explain how you feel about it",2026-05-07
1026,特殊场合下吃的食物,Part 3,5757,Why do people eat special food on special occasions or festivals?,2026-05-07
1026,特殊场合下吃的食物,Part 3,5758,How is festival food different from daily meals?,2026-05-07
1026,特殊场合下吃的食物,Part 3,5759,Why is it important to have a special meal to celebrate a festival?,2026-05-07
1026,特殊场合下吃的食物,Part 3,5760,How has people's diet changed compared to the past?,2026-05-07
1027,看过的现场比赛,Part 2,5761,"Describe a live sport match you have ever watched

You should say:

What it was

When you watched

What it was like

And explain how you felt about it",2026-05-07
1027,看过的现场比赛,Part 3,5762,What are the main differences between watching a sports event live in a stadium and watching it on TV?,2026-05-07
1027,看过的现场比赛,Part 3,5763,What kinds of sports events are most popular to watch in your country?,2026-05-07
1027,看过的现场比赛,Part 3,5764,What types of sports events or competitions are suitable for children to watch?,2026-05-07
1028,名人广告,Part 2,5765,"Describe a piece of advertisement which is about a famous person

You should say:

What the advertisement is about

When and where you saw it

What the famous person does in the advertisement

And explain how you felt about it",2026-05-07
1028,名人广告,Part 3,5766,What are the advantages and disadvantages of advertising?,2026-05-07
1028,名人广告,Part 3,5767,Why do so many companies choose celebrities for advertisements?,2026-05-07
1028,名人广告,Part 3,5769,Where do people often see advertisements in daily life?,2026-05-07
1028,名人广告,Part 3,5770,Do you think advertising is effective?,2026-05-07
1028,名人广告,Part 3,5772,"Which is more effective, in your opinion: online or traditional offline advertising?",2026-05-07
1032,去过且喜欢的城市,Part 2,5799,"Describe a city you enjoyed visiting
You should say:
Where it is
When you visited it
How long you stayed there
What you did there
And explain why you enjoyed visiting it",
1032,去过且喜欢的城市,Part 3,5800,What kinds of facilities do big cities have?,
1032,去过且喜欢的城市,Part 3,5801,Do you think modern cities are suitable for young people or old people?,
1032,去过且喜欢的城市,Part 3,5802,"Before you travel to a city, what factors would you consider?",
1032,去过且喜欢的城市,Part 3,5803,What are the disadvantages of living in a very famous city?,
1032,去过且喜欢的城市,Part 3,5804,Do you prefer to visit well-developed cities or cities with a long history?,
1032,去过且喜欢的城市,Part 3,5805,"For those who live in cities, is it because they want to or have to?",
1035,重要决定,Part 2,5811,"Describe an important decision that you made
You should say:
What the decision was
How you made your decision
What the results of the decision were
And explain why it was important",
1035,重要决定,Part 3,5812,Do you think children sometimes have to make important decisions?,
1035,重要决定,Part 3,5813,What important decisions do teenagers need to make after graduation?,
1035,重要决定,Part 3,5814,Who can children turn to for help when making a decision?,
1035,重要决定,Part 3,5815,Do you think advertisements can influence our decisions when shopping?,
1035,重要决定,Part 3,5816,Do you think the influence of advertising is good?,
1035,重要决定,Part 3,5817,How do people usually make important decision?,
1036,擅长学习和说语言的人,Part 2,5818,"Describe a person who is good at learning and speaking new languages
You should say:
How you got to know him/her
How he/she learns a new language
What languages he/she can speak
And explain how you feel about him/her",
1036,擅长学习和说语言的人,Part 3,5819,Are there many people who can speak foreign languages in your country?,
1036,擅长学习和说语言的人,Part 3,5820,Does speaking other languages help at work?,
1036,擅长学习和说语言的人,Part 3,5821,Do people learn any languages other than English?,
1036,擅长学习和说语言的人,Part 3,5822,Why is it easier for children to learn new things than for adults?,
1036,擅长学习和说语言的人,Part 3,5823,How do people learn new things?,
302,长期追求,Part 2,1501,"Describe an ambition you have had for a long time
You should say:
What it is
What you did for it
When you can achieve it
And explain why you have this ambition",2020-09-14
302,长期追求,Part 3,1502,What kinds of ambitions do people have?,2020-09-14
302,长期追求,Part 3,1503,Why should parents encourage children to have ambitions?,2020-09-14
302,长期追求,Part 3,1504,Should parents interfere with their children's ambitions?,2020-09-14
302,长期追求,Part 3,1505,Is there any difference between children's ambitions and those of grown-ups?,2020-09-14
324,对家庭重要的东西,Part 2,1599,"Describe something important that has been kept in your family for a long time
You should say:
What it is
When your family had it
How your family got it
And explain why it is important f or your family",2021-01-08
324,对家庭重要的东西,Part 3,1600,What things do families keep for a long time?,2021-01-08
324,对家庭重要的东西,Part 3,1601,What's the difference between things valued by people in the past and today?,2021-01-08
324,对家庭重要的东西,Part 3,1602,What kinds of things are kept in museums?,2021-01-08
324,对家庭重要的东西,Part 3,1603,What's the influence of technology on museums?,2021-01-08
324,对家庭重要的东西,Part 3,5617,What are the benefits of technology for learning history?,2026-01-12
324,对家庭重要的东西,Part 3,5618,Why do people visit museums?,2026-01-12
326,发挥想象力,Part 2,1606,"Describe a time you needed to use your imagination
You should say:
When it was
Why you needed to use imagination
How difficult or easy it was
And explain how you felt about it",2021-01-08
326,发挥想象力,Part 3,1607,Do you think adults can have lots of imagination?,2021-01-08
326,发挥想象力,Part 3,1608,Do you think imagination is essential for scientists?,2021-01-08
326,发挥想象力,Part 3,1609,What kinds of jobs need imagination?,2021-01-08
326,发挥想象力,Part 3,1610,What subjects are helpful for children's imagination?,2021-01-08
326,发挥想象力,Part 3,5619,What games help develop children's imagination?,2026-01-12
326,发挥想象力,Part 3,5620,How important is imagination to children?,2026-01-12
360,鼓励别人做不愿做的事,Part 2,1777,"Describe a time when you encouraged someone to do something that he/she didn't want to do

You should say:

Who he or she is

What you encouraged him/her to do

How he/she reacted

And explain why you encouraged him/her to do it",2021-01-11
360,鼓励别人做不愿做的事,Part 3,1778,How can leaders encourage their employees?,2021-01-11
360,鼓励别人做不愿做的事,Part 3,1779,When should parents encourage their children?,2021-01-11
360,鼓励别人做不愿做的事,Part 3,1780,What kind of encouragement should parents give?,2021-01-11
360,鼓励别人做不愿做的事,Part 3,1781,Do you think some people are better than others at persuading?,2021-01-11
360,鼓励别人做不愿做的事,Part 3,5669,Should children do everything their parents ask them to do?,2026-01-30
360,鼓励别人做不愿做的事,Part 3,5670,How can employers encourage their staff?,2026-01-30
370,当地新闻,Part 2,1827,"Describe a piece of local news that people are interested in
You should say:
What it was about
Where you saw/heard it
Who was involved
And explain why people were interested in it",2021-05-09
370,当地新闻,Part 3,5773,Are there a lot of people talking about local news?,2026-05-07
370,当地新闻,Part 3,5774,Do young people or the elderly care more about local news?,2026-05-07
370,当地新闻,Part 3,5775,Do people in your country prefer following local news or national news?,2026-05-07
378,微笑的场合,Part 2,1864,"Describe an occasion when many people were smiling

You should say:

When it happened

Who you were with

What happened

And explain why most people were smiling",2021-05-09
378,微笑的场合,Part 3,1865,Do you think people who like to smile are more friendly?,2021-05-09
